ZONEID,TIMESTAMP,TARGETVAR
1,20131201 1:00,0.844469488321694
1,20131201 2:00,0.795038041899394
1,20131201 3:00,0.809792297123511
1,20131201 4:00,0.550418186491815
1,20131201 5:00,0.496475881122055
1,20131201 6:00,0.309463389379026
1,20131201 7:00,0.644206360652951
1,20131201 8:00,0.519124130560068
1,20131201 9:00,0.308335676220542
1,20131201 10:00,0.260877735191366
1,20131201 11:00,0.296776612137062
1,20131201 12:00,0.472042089357287
1,20131201 13:00,0.388779246075952
1,20131201 14:00,0.325251380963583
1,20131201 15:00,0.130156938253808
1,20131201 16:00,0.139272620319725
1,20131201 17:00,0.023115192378508
1,20131201 18:00,0
1,20131201 19:00,0
1,20131201 20:00,0.000834036453790419
1,20131201 21:00,0
1,20131201 22:00,0
1,20131201 23:00,0
1,20131202 0:00,0
1,20131202 1:00,0.0439749563355397
1,20131202 2:00,0.160135322169715
1,20131202 3:00,0.189455873760592
1,20131202 4:00,0.157597967563125
1,20131202 5:00,0.153181087518217
1,20131202 6:00,0.187952255514443
1,20131202 7:00,0.265576534055612
1,20131202 8:00,0.219340285087471
1,20131202 9:00,0.102058075567205
1,20131202 10:00,0.0531904888809091
1,20131202 11:00,0.0251856040446032
1,20131202 12:00,0.0558218202855417
1,20131202 13:00,0.0546941071270574
1,20131202 14:00,0.0399398540074494
1,20131202 15:00,0.0295085051869621
1,20131202 16:00,0.0208626986932284
1,20131202 17:00,0.0124019131638918
1,20131202 18:00,0
1,20131202 19:00,0
1,20131202 20:00,0
1,20131202 21:00,0
1,20131202 22:00,0
1,20131202 23:00,0
1,20131203 0:00,0
1,20131203 1:00,0
1,20131203 2:00,0.000819351198012928
1,20131203 3:00,0.0307301951434893
1,20131203 4:00,0.0747110241081844
1,20131203 5:00,0.0514049433973936
1,20131203 6:00,0.0745201315668859
1,20131203 7:00,0.0606057938437474
1,20131203 8:00,0.0823230868756993
1,20131203 9:00,0
1,20131203 10:00,0.00166807501208868
1,20131203 11:00,0.00768255010118974
1,20131203 12:00,0
1,20131203 13:00,0
1,20131203 14:00,0
1,20131203 15:00,0.0766815831903193
1,20131203 16:00,0.165773890066645
1,20131203 17:00,0.213325811050624
1,20131203 18:00,0.254957239004816
1,20131203 19:00,0.46574568703082
1,20131203 20:00,0.573818239791634
1,20131203 21:00,0.530683191486786
1,20131203 22:00,0.436425140701213
1,20131203 23:00,0.271215106161557
1,20131204 0:00,0.222347518423007
1,20131204 1:00,0.25824640273448
1,20131204 2:00,0.436988994123694
1,20131204 3:00,0.26595244019553
1,20131204 4:00,0.292453708890195
1,20131204 5:00,0.184193210951327
1,20131204 6:00,0.306174224597108
1,20131204 7:00,0.195376369947142
1,20131204 8:00,0.157973866337267
1,20131204 9:00,0.180246217001139
1,20131204 10:00,0.102340003856826
1,20131204 11:00,0.31406821986326
1,20131204 12:00,0.608213494282165
1,20131204 13:00,0.736960803714915
1,20131204 14:00,0.656235300308614
1,20131204 15:00,0.797951297384632
1,20131204 16:00,0.900197325495669
1,20131204 17:00,0.916831108262613
1,20131204 18:00,0.942486591036161
1,20131204 19:00,0.845127322751233
1,20131204 20:00,0.916831110367121
1,20131204 21:00,0.886382837199729
1,20131204 22:00,0.938915503225893
1,20131204 23:00,0.932901018666507
1,20131205 0:00,0.921623897604203
1,20131205 1:00,0.874447862767316
1,20131205 2:00,0.887322603075652
1,20131205 3:00,0.846442985296787
1,20131205 4:00,0.710741452787332
1,20131205 5:00,0.632835241747526
1,20131205 6:00,0.309463390431279
1,20131205 7:00,0.517526537620385
1,20131205 8:00,0.481345723967037
1,20131205 9:00,0.429282947192359
1,20131205 10:00,0.174419691299108
1,20131205 11:00,0.255333143040226
1,20131205 12:00,0.199981198326868
1,20131205 13:00,0.235974055227368
1,20131205 14:00,0.254111449926937
1,20131205 15:00,0.296118776655269
1,20131205 16:00,0.196598058851416
1,20131205 17:00,0.126679821980312
1,20131205 18:00,0.0345832165046491
1,20131205 19:00,0.0185132976827248
1,20131205 20:00,0.00317756799190034
1,20131205 21:00,0.0260284499682538
1,20131205 22:00,0.033267548697825
1,20131205 23:00,0.0493374664674953
1,20131206 0:00,0.086458038630988
1,20131206 1:00,0.106850861752033
1,20131206 2:00,0.095479744951116
1,20131206 3:00,0.0598627941905335
1,20131206 4:00,0.0561037485751627
1,20131206 5:00,0.0669110024833141
1,20131206 6:00,0.0717037865636339
1,20131206 7:00,0.0800676605587308
1,20131206 8:00,0.0499013251512454
1,20131206 9:00,0.0646555761663455
1,20131206 10:00,0.0408796156743556
1,20131206 11:00,0.000925077463382603
1,20131206 12:00,0
1,20131206 13:00,0
1,20131206 14:00,0
1,20131206 15:00,0
1,20131206 16:00,0
1,20131206 17:00,0
1,20131206 18:00,0
1,20131206 19:00,0
1,20131206 20:00,0
1,20131206 21:00,0
1,20131206 22:00,0
1,20131206 23:00,0
1,20131207 0:00,0
1,20131207 1:00,0.0111743484737012
1,20131207 2:00,0.0407856388763126
1,20131207 3:00,0.00637569386873367
1,20131207 4:00,0.00138614882697548
1,20131207 5:00,0.0495254190113274
1,20131207 6:00,0
1,20131207 7:00,0
1,20131207 8:00,0
1,20131207 9:00,0
1,20131207 10:00,0
1,20131207 11:00,0
1,20131207 12:00,0
1,20131207 13:00,0.0445388129147817
1,20131207 14:00,0.241048765492802
1,20131207 15:00,0.375904514185649
1,20131207 16:00,0.563950746498135
1,20131207 17:00,0.795883822559242
1,20131207 18:00,0.914763635541731
1,20131207 19:00,0.902546735976458
1,20131207 20:00,0.904332264623912
1,20131207 21:00,0.903580477598169
1,20131207 22:00,0.82990319616395
1,20131207 23:00,0.2761958406812
1,20131208 0:00,0.137111173957561
1,20131208 1:00,0.166525700241972
1,20131208 2:00,0.480311987606595
1,20131208 3:00,0.296400705997144
1,20131208 4:00,0.15562446743127
1,20131208 5:00,0.156752182694262
1,20131208 6:00,0.105535189736193
1,20131208 7:00,0.038342260015512
1,20131208 8:00,0.0609905084012717
1,20131208 9:00,0.110046046579146
1,20131208 10:00,0.105347239296869
1,20131208 11:00,0.0813833294178088
1,20131208 12:00,0.0745230705120985
1,20131208 13:00,0.0798797080148987
1,20131208 14:00,0.0408796167266095
1,20131208 15:00,0.0551639890127644
1,20131208 16:00,0.0318579083019736
1,20131208 17:00,0.0341133325144342
1,20131208 18:00,6.75452317005534e-05
1,20131208 19:00,0.00486326615272516
1,20131208 20:00,0
1,20131208 21:00,0.0202988442184942
1,20131208 22:00,0.0736772845909814
1,20131208 23:00,0.038248284269723
1,20131209 0:00,0.09585565003878
1,20131209 1:00,0.177426928843659
1,20131209 2:00,0.224508968994186
1,20131209 3:00,0.65275819771442
1,20131209 4:00,0.425148005959609
1,20131209 5:00,0.611032780335138
1,20131209 6:00,0.739310204725419
1,20131209 7:00,0.81035615054599
1,20131209 8:00,0.875387630747746
1,20131209 9:00,0.917582908967656
1,20131209 10:00,0.936660061125115
1,20131209 11:00,0.940137195286928
1,20131209 12:00,0.95780470283952
1,20131209 13:00,0.97528428731139
1,20131209 14:00,0.97218306349851
1,20131209 15:00,0.962315557577965
1,20131209 16:00,0.957522766131868
1,20131209 17:00,0.899445503745548
1,20131209 18:00,0.707358312259625
1,20131209 19:00,0.672211244437004
1,20131209 20:00,0.890987671892979
1,20131209 21:00,0.910346743922028
1,20131209 22:00,0.886382839304237
1,20131209 23:00,0.836199584811117
1,20131210 0:00,0.855276747491115
1,20131210 1:00,0.618268945380766
1,20131210 2:00,0.564044719087162
1,20131210 3:00,0.63114367727107
1,20131210 4:00,0.695705279796134
1,20131210 5:00,0.810638074626595
1,20131210 6:00,0.748801785565477
1,20131210 7:00,0.826895944940099
1,20131210 8:00,0.803401919051253
1,20131210 9:00,0.73526921819338
1,20131210 10:00,0.468001118609057
1,20131210 11:00,0.608495437303341
1,20131210 12:00,0.551545898598046
1,20131210 13:00,0.491495141341141
1,20131210 14:00,0.567709791061251
1,20131210 15:00,0.41114555775406
1,20131210 16:00,0.457757716018879
1,20131210 17:00,0.55812422500512
1,20131210 18:00,0.647307568682022
1,20131210 19:00,0.676534148736124
1,20131210 20:00,0.734517417488337
1,20131210 21:00,0.787989838867883
1,20131210 22:00,0.857532174860337
1,20131210 23:00,0.74870780771518
1,20131211 0:00,0.622685827530184
1,20131211 1:00,0.434075736533948
1,20131211 2:00,0.349591195930307
1,20131211 3:00,0.322244141314525
1,20131211 4:00,0.183535375469534
1,20131211 5:00,0.186354664679268
1,20131211 6:00,0.135701529352695
1,20131211 7:00,0.132036458430858
1,20131211 8:00,0.1972558922287
1,20131211 9:00,0.165585935418304
1,20131211 10:00,0.174607645947449
1,20131211 11:00,0.131096697816207
1,20131211 12:00,0.153275063264005
1,20131211 13:00,0.190207681831412
1,20131211 14:00,0.280518740771306
1,20131211 15:00,0.22582463680101
1,20131211 16:00,0.281176576253098
1,20131211 17:00,0.297246489813754
1,20131211 18:00,0.420073288328398
1,20131211 19:00,0.354853862948588
1,20131211 20:00,0.476177044269339
1,20131211 21:00,0.443567323687529
1,20131211 22:00,0.405319037313298
1,20131211 23:00,0.37082980497247
1,20131212 0:00,0.359646637558622
1,20131212 1:00,0.355417715318814
1,20131212 2:00,0.341603225970621
1,20131212 3:00,0.353162294263115
1,20131212 4:00,0.254487353962347
1,20131212 5:00,0.391128647086455
1,20131212 6:00,0.511512063583538
1,20131212 7:00,0.434263685921018
1,20131212 8:00,0.305892295255233
1,20131212 9:00,0.260689779490772
1,20131212 10:00,0.246499381898153
1,20131212 11:00,0.183535379678549
1,20131212 12:00,0.177238976299827
1,20131212 13:00,0.148576258086236
1,20131212 14:00,0.172446192219508
1,20131212 15:00,0.149234091463521
1,20131212 16:00,0.157316037168997
1,20131212 17:00,0.153744945149713
1,20131212 18:00,0.156188322958259
1,20131212 19:00,0.280988624761521
1,20131212 20:00,0.265388582564034
